Name,Tmin,Tmax,C1,C2,C3,C4,C5
Exponent,,,0,1,2,3,4
Scale (to J/mol),,,0.001,0.001,0.001,0.001,0.001
H2O,0,2000,276370,-2090.1,8.125,-0.014116,9.37E-06
CH3OH,0,2000,105800,-362.23,0.9379,0,0
C2H5OH,0,2000,102640,-139.63,-0.030341,0.0020386,0
CO2,0,2000,-8304300,104370,-433.33,0.60052,0
